No,Scopus_Match_Key,Scopus_ISSN,Scopus_EISSN,Scopus_Title,Active or Inactive,Coverage,Titles Discontinued by Scopus,Source Type,"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
621,1566-0141,1566-0141,1873-6173,Emerging Markets Review,Active,2000-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
622,0340-8744,0340-8744,1573-6911,Empirica,Active,1974-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
623,0377-7332,0377-7332,1435-8921,Empirical Economics,Active,1976-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,Mathematics ,,,,,,,Social Sciences ,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,0142-5455,0142-5455,1758-7069,Employee Relations,Active,1979-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
626,0098-8898,0098-8898,,Employee Relations Law Journal,Inactive,2015; 1978-2013,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
627,0892-7545,0892-7545,1573-3378,Employee Responsibilities and Rights Journal,Active,2000-2026; 1988-1998,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
628,0958-305X,0958-305X,2048-4070,Energy and Environment,Active,1995-2026; 1981,,Journal,,,Physical Sciences,,,,,,,,,,,,,Energy ,,Environmental Science ,,,,,,,,,,,,,
629,0140-9883,0140-9883,1873-6181,Energy Economics,Active,1979-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",Energy ,,,,,,,,,,,,,,,
630,0195-6574,0195-6574,1944-9089,Energy Journal,Active,1993-2026; 1991; 1989; 1987; 1980-1985,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",Energy ,,,,,,,,,,,,,,,
631,0301-4215,0301-4215,,Energy Policy,Active,1973-2026,,Journal,,,Physical Sciences,,,,,,,,,,,,,Energy ,,Environmental Science ,,,,,,,,,,,,,
632,2652-6433,,2652-6433,Energy Research Letters,Active,2020-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",Energy ,,,,,,,,,,,,,,,
633,1556-7249,1556-7249,1556-7257,"Energy Sources, Part B: Economics, Planning and Policy",Active,2006-2026,,Journal,,,Physical Sciences,,,,,,,Chemical Engineering ,,,,,,Energy ,,,,,,,,,,,,,,,
634,0843-4379,0843-4379,,Energy Studies Review,Active,2024-2026; 2020-2021; 2010-2016; 2008; 1991-1995,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",Energy ,,Environmental Science ,,,,,,,,,,,,,
635,1392-2785,1392-2785,2029-5839,Engineering Economics,Active,2008-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,Engineering ,,,,,,,,,,,,,,
636,0013-791X,0013-791X,1547-2701,Engineering Economist,Active,1955-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",,Engineering ,,,,,,,,,,,Social Sciences ,,,
637,1042-9247,1042-9247,,EMJ - Engineering Management Journal,Active,1989-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,,,Engineering ,,,,,,,,,,,,,,
638,0969-9988,0969-9988,1365-232X,"Engineering, Construction and Architectural Management",Active,1994-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,,,Engineering ,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,1467-2227,1467-2227,1467-2235,Enterprise and Society,Active,2000-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
641,1755-1978,1755-1978,1755-1986,Enterprise Development and Microfinance,Inactive,2024-2025; 2007-2022,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,1751-7575,1751-7575,1751-7583,Enterprise Information Systems,Active,2007-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,Decision Sciences ,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,0898-5626,0898-5626,1464-5114,Entrepreneurship and Regional Development,Active,1989-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
647,2194-6175,2194-6175,2157-5665,Entrepreneurship Research Journal,Active,2014-2026; 2011-2012,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
648,1042-2587,1042-2587,1540-6520,Entrepreneurship Theory and Practice,Active,2004-2026; 1997; 1994; 1992; 1989-1990,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
649,1355-770X,1355-770X,1469-4395,Environment and Development Economics,Active,1996-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
650,0308-518X,0308-518X,1472-3409,Environment and Planning A,Active,1973-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
651,,2399-8083,2399-8091,Environment and Planning B: Urban Analytics and City Science,Active,2017-2026,,,,Social Sciences,,,,,,,,,,,,,,,Engineering,Environmental Science ,,,,,,,,,,Social Sciences ,,,
652,,2399-6544,2399-6552,Environment and Planning C: Politics and Space,Active,2017-2026,,Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,0263-7758,0263-7758,1472-3433,Environment and Planning D: Society and Space,Active,1983-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
654,0975-4253,0975-4253,0976-3546,Environment and Urbanization ASIA,Active,2010-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
655,1352-8505,1352-8505,1573-3009,Environmental and Ecological Statistics,Active,1994-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,Environmental Science ,,,Mathematics ,,,,,,,,,,
656,0813-300X,0813-300X,,Environmental and Planning Law Journal,Inactive,1984-2020,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
657,0924-6460,0924-6460,1573-1502,Environmental and Resource Economics,Active,1991-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,Environmental Science ,,,,,,,,,,,,,
658,1432-847X,1432-847X,1867-383X,Environmental Economics and Policy Studies,Active,2004-2026; 1998-2002,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,Environmental Science ,,,,,,,,,,,,,
659,1350-4622,1469-5871,1350-4622,Environmental Education Research,Active,1995-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
660,2210-4224,2210-4224,2210-4232,Environmental Innovation and Societal Transitions,Active,2011-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,Energy ,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
661,0364-152X,0364-152X,1432-1009,Environmental Management,Active,1977-2026,,Journal,,,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,,,,,,,,,,,
662,1180-4009,1180-4009,1099-095X,Environmetrics,Active,1990-2026,,Journal,,,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,Mathematics ,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,2040-7149,2040-7149,2040-7157,"Equality, Diversity and Inclusion",Active,2010-2026; 1996-2003; 1989-1994,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
665,1876-9098,,1876-9098,Erasmus Journal for Philosophy and Economics,Active,2015-2026; 2008-2013,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,1292-8100,1292-8100,1262-3318,ESAIM - Probability and Statistics,Active,1997-2026,,Journal,,,Physical Sciences,,,,,,,,,,,,,,,,,,Mathematics ,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,0101-4161,0101-4161,1980-5357,Estudos Economicos,Active,2008-2025; 1992; 1987; 1981,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,1388-1957,1388-1957,1572-8439,Ethics and Information Technology,Active,1999-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,,,,,,,,,,,,,,,,Social Sciences ,,,
672,0014-1704,0014-1704,1539-297X,Ethics,Active,1996-2026; 1992-1993; 1973-1990,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
673,1309-4297,1309-4297,2147-4281,Eurasian Business Review,Active,2011-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
674,1309-422X,1309-422X,2147-429X,Eurasian Economic Review,Active,2011-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
675,1538-7216,1538-7216,,Eurasian Geography and Economics,Active,2002-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
676,1694-5948,1694-5948,1694-5972,Eurasian Journal of Business and Economics,Active,2020-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
677,2192-4376,2192-4376,2192-4384,EURO Journal on Transportation and Logistics,Active,2013-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,Social Sciences ,,,
678,1746-692X,1478-0917,1746-692X,EuroChoices,Active,2002-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
679,1450-2194,1450-2194,1758-888X,EuroMed Journal of Business,Active,2006-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
680,0966-8136,0966-8136,1465-3427,Europe-Asia Studies,Active,1993-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
681,2190-9733,2190-9733,2190-9741,European Actuarial Journal,Active,2011-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,"Economics, Econometrics and Finance ",,,,,,Mathematics ,,,,,,,,,,
682,0959-6941,0959-6941,1875-841X,European Business Law Review,Active,2017-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
683,1566-7529,1566-7529,1741-6205,European Business Organization Law Review,Active,2000-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
684,0955-534X,0955-534X,1758-7107,European Business Review,Active,1989-2026; 1970,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,1744-1056,1744-1056,1757-8396,European Competition Journal,Active,2014-2026; 2012; 2005,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
687,0144-3054,0144-3054,2754-1711,European Competition Law Review,Active,2021-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
688,0014-2921,0014-2921,,European Economic Review,Active,1969-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
689,1354-7798,1354-7798,1468-036X,European Financial Management,Active,1995-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,0267-3231,0267-3231,1460-3705,European Journal of Communication,Active,1986-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
692,1824-2979,1824-2979,,European Journal of Comparative Economics,Active,2017-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
693,0957-8811,0957-8811,1743-9728,European Journal of Development Research,Active,1989-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
694,2052-7764,2052-7764,2052-7772,European Journal of Economics and Economic Policies: Intervention,Active,2004-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
695,2254-7088,,2254-7088,European Journal of Government and Economics,Active,2012-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
696,1618-7598,1618-7598,1618-7601,European Journal of Health Economics,Active,2002-2026,,Journal,,Social Sciences,,Health Sciences,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,Medicine ,,,,,,,,,
697,0959-6801,0959-6801,1461-7129,European Journal of Industrial Relations,Active,1995-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
698,0960-085X,0960-085X,1476-9344,European Journal of Information Systems,Active,1995-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,Computer Science ,Decision Sciences ,,,,,,,,,,,,,,,Social Sciences ,,,
699,1460-1060,1460-1060,1758-7115,European Journal of Innovation Management,Active,1998-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
700,0938-5428,0938-5428,1464-3596,European Journal of International Law,Active,2005-2025,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
701,1751-6757,1751-6757,1751-6765,European Journal of International Management,Active,2007-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
702,1354-0661,1354-0661,1460-3713,European Journal of International Relations,Active,1995-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
703,0929-1261,0929-1261,1572-9990,European Journal of Law and Economics,Active,1994-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
704,2444-8451,2444-8451,2444-8494,European Journal of Management and Business Economics,Active,2016-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
705,2183-4172,2183-4172,2635-2648,European Journal of Management Studies,Active,2022-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
706,0309-0566,0309-0566,1758-7123,European Journal of Marketing,Active,1967-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
707,0377-2217,0377-2217,,European Journal of Operational Research,Active,1977-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,
708,0890-2070,0890-2070,1099-0984,European Journal of Personality,Active,1987-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
709,0176-2680,0176-2680,,European Journal of Political Economy,Active,1985-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
710,0304-4130,0304-4130,1475-6765,European Journal of Political Research,Active,1973-2025,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
711,0168-6577,0168-6577,1572-9885,European Journal of Population,Active,1985-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
712,1015-5759,1015-5759,2151-2426,European Journal of Psychological Assessment,Active,1996-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
713,1101-1262,1101-1262,1464-360X,European Journal of Public Health,Active,1991-2026,,Journal,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
714,0046-2772,0046-2772,1099-0992,European Journal of Social Psychology,Active,1971-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
715,0967-2567,0967-2567,1469-5936,European Journal of the History of Economic Thought,Active,1993-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
716,1994-7658,1994-7658,1314-0817,European Journal of Tourism Research,Active,2008-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
717,2046-9012,2046-9012,2046-9020,European Journal of Training and Development,Active,2012-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
718,1567-7133,1567-7133,1567-7141,European Journal of Transport and Infrastructure Research,Active,2008-2026; 2002,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
719,1359-432X,1359-432X,1464-0643,European Journal of Work and Organizational Psychology,Active,2005-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,Psychology ,,,,
720,1351-5993,1351-5993,1468-0386,European Law Journal,Active,1995-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
721,0307-5400,0307-5400,,European Law Review,Active,2008-2026; 1995,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
722,0263-2373,0263-2373,,European Management Journal,Active,1982-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
723,1740-4754,1740-4754,1740-4762,European Management Review,Active,2008-2026; 2006; 2004,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
724,2444-8834,2444-8834,,European Research on Management and Business Economics,Active,2016-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
725,0165-1587,0165-1587,1464-3618,European Review of Agricultural Economics,Active,1986-2026; 1981-1982,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
726,1361-4916,1361-4916,1474-0044,European Review of Economic History,Active,2001-2026; 1999,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
727,1618-4742,1618-4742,1746-031X,European Sport Management Quarterly,Active,2009-2026; 2001-2003,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
728,0014-3138,0014-3138,2352-9199,European Taxation,Active,2019-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
729,1825-3997,1825-3997,,European Transport - Trasporti Europei,Active,2015-2026; 2010-2013; 2008; 2006; 1995-1996,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,,,,,,,,,Social Sciences ,,,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,0969-7764,0969-7764,1461-7145,European Urban and Regional Studies,Active,1994-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
732,1356-3890,1356-3890,1461-7153,Evaluation,Active,1995-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
733,0193-841X,0193-841X,1552-3926,Evaluation Review,Active,1977-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
734,1525-9951,1525-9951,,Event Management,Active,2005-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
735,2049-3983,2049-3983,2049-3991,Evidence-based HRM,Active,2013-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,Psychology ,,,,
736,1386-4157,1386-4157,1573-6938,Experimental Economics,Active,2000-2026; 1998,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
737,1473-7167,1473-7167,1744-8379,Expert Review of Pharmacoeconomics and Outcomes Research,Active,2001-2026,,Journal,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
738,0014-4983,0014-4983,1090-2457,Explorations in Economic History,Active,1969-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
739,0263-2772,0263-2772,1758-7131,Facilities,Active,1983-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,,,,Engineering ,,,,,,,,,,,Social Sciences ,,,
740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,0894-4865,0894-4865,1741-6248,Family Business Review,Active,1988-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,0067-205X,0067-205X,1444-6928,Federal Law Review,Active,2018-2026; 2006,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
745,1354-5701,1354-5701,1466-4372,Feminist Economics,Active,1995-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
746,2319-7145,2319-7145,2455-2658,FIIB Business Review,Active,2011-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
747,0752-6180,0752-6180,2101-0145,Finance,Active,2019-2024,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
748,0949-2984,0949-2984,1432-1122,Finance and Stochastics,Active,2004-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,"Economics, Econometrics and Finance ",,,,,,Mathematics ,,,,,,,,,,
749,0970-3772,0970-3772,,Finance India,Active,2018-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
750,1544-6123,1544-6123,1544-6131,Finance Research Letters,Active,2004-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
751,0267-4424,0267-4424,1468-0408,Financial Accountability and Management,Active,1985-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
752,0015-198X,0015-198X,,Financial Analysts Journal,Active,1996-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
753,0968-5650,0968-5650,1474-0052,Financial History Review,Active,2003-2026; 1994-1999,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
754,2199-4730,,2199-4730,Financial Innovation,Active,2015-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
755,0046-3892,0046-3892,1755-053X,Financial Management,Active,1996-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
756,1934-4554,1934-4554,2373-8529,Financial Markets and Portfolio Management,Active,2006-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
757,0963-8008,0963-8008,1468-0416,"Financial Markets, Institutions and Instruments",Active,2003-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,2573-8615,,2573-8615,Financial Planning Review,Active,2018-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,0732-8516,0732-8516,1540-6288,Financial Review,Active,1969-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1057-0810,1057-0810,,Financial Services Review,Active,2022-2026; 2007-2008; 2001-2003; 1998-1999; 1991-1995,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
