id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
1141,0219-0249,0219-0249,1793-6322,International Journal of Theoretical and Applied Finance,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)","Economics, Econometrics and Finance"
1142,2056-5607,2056-5615,2056-5607,International Journal of Tourism Cities,Q2,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting; Environmental Science; Social Sciences"
1143,1750-4090,1750-4090,1750-4104,International Journal of Tourism Policy,Q4,"Tourism, Leisure and Hospitality Management (Q4)","Business, Management and Accounting"
1144,1099-2340,1099-2340,1522-1970,International Journal of Tourism Research,Q1,"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q2)","Business, Management and Accounting; Environmental Science; Social Sciences"
1145,1742-7541,1742-755X,1742-7541,International Journal of Trade and Global Markets,Q4,"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4)","Business, Management and Accounting; Economics, Econometrics and Finance"
1146,1360-3736,1468-2419,1360-3736,International Journal of Training and Development,Q2,Education (Q2); Organizational Behavior and Human Resource Management (Q2),"Business, Management and Accounting; Social Sciences"
1147,0303-5247,0303-5247,1724-2185,International Journal of Transport Economics,Q4,"Geography, Planning and Development (Q4); Transportation (Q4)",Social Sciences
1148,0309-1317,0309-1317,1468-2427,International Journal of Urban and Regional Research,Q1,Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1),Social Sciences
1149,0143-3369,0143-3369,,International Journal of Vehicle Design,Q3,Automotive Engineering (Q3); Mechanical Engineering (Q3),Engineering
1150,,,,,,,
1151,1477-8394,1741-8216,1477-8394,International Journal of Web Based Communities,Q3,Communication (Q3); Computer Networks and Communications (Q4); Education (Q4); Software (Q4),Computer Science; Social Sciences
1152,1751-1062,1751-1070,1751-1062,International Journal of Wine Business Research,Q2,"Business, Management and Accounting (miscellaneous) (Q2)","Business, Management and Accounting"
1153,1740-8938,1740-8946,1740-8938,International Journal of Work Organisation and Emotion,Q4,Organizational Behavior and Human Resource Management (Q4),"Business, Management and Accounting"
1154,0147-5479,1471-6445,0147-5479,International Labor and Working-Class History,Q2,History (Q2); Organizational Behavior and Human Resource Management (Q4),"Arts and Humanities; Business, Management and Accounting"
1155,0020-7780,0020-7780,1564-913X,International Labour Review,Q2,Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2),"Business, Management and Accounting"
1156,0265-1335,0265-1335,,International Marketing Review,Q1,Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
1157,0020-7985,1468-2435,0020-7985,International Migration,Q1,Demography (Q1),Social Sciences
1158,0197-9183,1747-7379,0197-9183,International Migration Review,Q1,Arts and Humanities (miscellaneous) (Q1); Demography (Q1),Arts and Humanities; Social Sciences
1159,1382-340X,1382-340X,1571-8069,International Negotiation,Q2,Political Science and International Relations (Q2); Sociology and Political Science (Q2),Social Sciences
1160,0020-8183,1531-5088,0020-8183,International Organization,Q1,Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1),"Business, Management and Accounting; Social Sciences"
1161,,,,,,,
1162,1096-7494,1559-3169,1096-7494,International Public Management Journal,Q1,Business and International Management (Q1); Public Administration (Q1),"Business, Management and Accounting; Social Sciences"
1163,2154-8919,2154-8919,,International Real Estate Review,Q4,"Accounting (Q4); Demography (Q4); Economics and Econometrics (Q4); Finance (Q4); Geography, Planning and Development (Q4); Urban Studies (Q4)","Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1164,0160-0176,0160-0176,1552-6925,International Regional Science Review,Q1,Social Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q2),Environmental Science; Social Sciences
1165,1012-6902,1012-6902,1461-7218,International Review for the Sociology of Sport,Q1,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Sports Science (Q2),Health Professions; Social Sciences
1166,0020-8523,0020-8523,1461-7226,International Review of Administrative Sciences,Q1,Public Administration (Q1); Sociology and Political Science (Q1),Social Sciences
1167,0269-2171,1465-3486,0269-2171,International Review of Applied Economics,Q2,Economics and Econometrics (Q2),"Economics, Econometrics and Finance"
1168,1865-1704,1863-4613,1865-1704,International Review of Economics,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2)","Economics, Econometrics and Finance"
1169,1059-0560,1059-0560,,International Review of Economics and Finance,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance"
1170,1477-3880,1477-3880,,International Review of Economics Education,Q2,Education (Q2),Social Sciences
1171,1932-1465,1932-1465,1932-1473,International Review of Environmental and Resource Economics,Q2,"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2); Management, Monitoring, Policy and Law (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
1172,1369-412X,1468-2443,1369-412X,International Review of Finance,Q2,Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance"
1173,1057-5219,1057-5219,,International Review of Financial Analysis,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance"
1174,,,,,,,
1175,0144-8188,0144-8188,,International Review of Law and Economics,Q1,Law (Q1); Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance; Social Sciences"
1176,1360-0869,1360-0869,1364-6885,"International Review of Law, Computers and Technology",Q1,Law (Q1); Computer Science Applications (Q2),Computer Science; Social Sciences
1177,1229-4659,2331-7795,1229-4659,International Review of Public Administration,Q2,Public Administration (Q2),Social Sciences
1178,0959-3969,0959-3969,1466-4402,"International Review of Retail, Distribution and Consumer Research",Q2,Business and International Management (Q2); Economics and Econometrics (Q2); Marketing (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance"
1179,1865-1984,1865-1992,1865-1984,International Review on Public and Nonprofit Marketing,Q2,Economics and Econometrics (Q2); Marketing (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance"
1180,0266-2426,0266-2426,1741-2870,International Small Business Journal: Researching Entrepreneurship,Q1,Business and International Management (Q1),"Business, Management and Accounting"
1181,1468-2451,0020-8701,1468-2451,International Social Science Journal,Q2,Social Sciences (miscellaneous) (Q2),Social Sciences
1182,0306-7734,0306-7734,1751-5823,International Statistical Review,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
1183,0020-8825,0020-8825,1558-0911,International Studies of Management and Organization,Q2,Business and International Management (Q2); Strategy and Management (Q2),"Business, Management and Accounting"
1184,0020-8833,1468-2478,0020-8833,International Studies Quarterly,Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
1185,0927-5940,1573-6970,0927-5940,International Tax and Public Finance,Q2,Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance"
1186,,,,,,,
1187,,,,,,,
1188,0885-3908,0885-3908,1521-0545,International Trade Journal,Q3,"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance"
1189,0969-6016,0969-6016,1475-3995,International Transactions in Operational Research,Q1,Business and International Management (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2),"Business, Management and Accounting; Computer Science; Decision Sciences"
1190,1385-3074,2352-9172,1385-3074,International Transfer Pricing Journal,Q3,"Law (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance; Social Sciences"
1191,0925-0832,0925-0832,2352-9210,International VAT Monitor,Q4,"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)","Economics, Econometrics and Finance; Social Sciences"
1192,1066-2243,1066-2243,,Internet Research,Q1,Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1),"Economics, Econometrics and Finance; Social Sciences"
1193,0165-2826,1875-8347,0165-2826,Intertax,Q1,Law (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences"
1194,1029-3523,2077-0227,1029-3523,Investment Analysts Journal,Q3,Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance"
1195,2573-2331,2573-2331,2573-2323,IPPR Progressive Review,Q3,"Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance; Social Sciences"
1196,,,,,,,
1197,,,,,,,
1198,,,,,,,
1199,,,,,,,
1200,,,,,,,
1201,0739-3172,0739-3172,1558-7983,Issues in Accounting Education,Q2,Accounting (Q2); Education (Q2),"Business, Management and Accounting; Social Sciences"
1202,,,,,,,
1203,2199-322X,2199-322X,2199-3238,Italian Economic Journal,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2)","Economics, Econometrics and Finance"
1204,2662-3323,2662-3323,2662-3331,Italian Journal of Marketing,Q2,Marketing (Q2),"Business, Management and Accounting"
1205,,,,,,,
1206,,,,,,,
1207,2193-8997,2193-8997,,IZA Journal of Labor Economics,Q3,Economics and Econometrics (Q3); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance"
1208,0922-1425,0922-1425,,Japan and the World Economy,Q1,Political Science and International Relations (Q1); Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance; Social Sciences"
1209,,,,,,,
1210,1352-4739,1352-4739,1468-5876,Japanese Economic Review,Q3,Economics and Econometrics (Q3),"Economics, Econometrics and Finance"
1211,,,,,,,
1212,0975-2498,0975-2498,2364-4869,Jindal Global Law Review,Q3,Law (Q3); Sociology and Political Science (Q3),Social Sciences
1213,0120-4483,0120-4483,2665-1327,Ensayos Sobre Politica Economica,Q3,Political Science and International Relations (Q3); Economics and Econometrics (Q4),"Economics, Econometrics and Finance; Social Sciences"
1214,2326-3296,1537-5137,2326-3296,Journal for Advancement of Marketing Education,Q4,Education (Q4); Marketing (Q4),"Business, Management and Accounting; Social Sciences"
1215,,,,,,,
1216,0379-6205,0379-6205,,Journal for Studies in Economics and Econometrics,Q4,Economics and Econometrics (Q4),"Economics, Econometrics and Finance"
1217,,,,,,,
1218,,,,,,,
1219,,,,,,,
1220,1832-5912,1832-5912,,Journal of Accounting and Organizational Change,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
1221,0165-4101,0165-4101,,Journal of Accounting and Economics,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
1222,,,,,,,
1223,,,,,,,
1224,0278-4254,1873-2070,0278-4254,Journal of Accounting and Public Policy,Q1,Sociology and Political Science (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences"
1225,0148-558X,2160-4061,0148-558X,"Journal of Accounting, Auditing and Finance",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); Accounting (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
1226,0748-5751,0748-5751,,Journal of Accounting Education,Q2,Accounting (Q2); Education (Q2),"Business, Management and Accounting; Social Sciences"
1227,2042-1168,2042-1168,2042-1176,Journal of Accounting in Emerging Economies,Q1,Development (Q1); Sociology and Political Science (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences"
1228,0737-4607,0737-4607,,Journal of Accounting Literature,Q2,Accounting (Q2),"Business, Management and Accounting"
1229,0021-8456,1475-679X,0021-8456,Journal of Accounting Research,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
1230,1018-1687,1018-1687,,Journal of Accounting Review,Q4,"Accounting (Q4); Business, Management and Accounting (miscellaneous) (Q4)","Business, Management and Accounting"
1231,,,,,,,
1232,,,,,,,
1233,,,,,,,
1234,0197-6729,0197-6729,2042-3195,Journal of Advanced Transportation,Q2,Automotive Engineering (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Mechanical Engineering (Q2); Strategy and Management (Q2),"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Engineering"
1235,0091-3367,1557-7805,0091-3367,Journal of Advertising,Q1,Business and International Management (Q1); Communication (Q1); Marketing (Q1),"Business, Management and Accounting; Social Sciences"
1236,1098-0482,1098-0482,2516-1873,Journal of Advertising Education,Q2,Communication (Q2); Education (Q3); Marketing (Q3),"Business, Management and Accounting; Social Sciences"
1237,0021-8499,0021-8499,1740-1909,Journal of Advertising Research,Q1,Communication (Q1); Marketing (Q2),"Business, Management and Accounting; Social Sciences"
1238,1522-8916,1522-8916,1522-9076,Journal of African Business,Q2,"Development (Q2); Geography, Planning and Development (Q2)",Social Sciences
1239,,,,,,,
1240,0963-8024,0963-8024,1464-3723,Journal of African Economies,Q2,Development (Q2); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Social Sciences"
1241,2044-0839,2044-0847,2044-0839,Journal of Agribusiness in Developing and Emerging Economies,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Development (Q2); Economics and Econometrics (Q2),"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
1242,1542-0485,1542-0485,2194-5896,Journal of Agricultural and Food Industrial Organization,Q4,"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Food Science (Q4)","Agricultural and Biological Sciences; Business, Management and Accounting; Economics, Econometrics and Finance"
1243,1074-0708,2056-7405,1074-0708,Journal of Agricultural and Applied Economics,Q2,Agricultural and Biological Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
1244,1068-5502,1068-5502,,Journal of Agricultural and Resource Economics,Q2,Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Economics and Econometrics (Q3),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
1245,0021-857X,1477-9552,0021-857X,Journal of Agricultural Economics,Q1,Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
1246,1085-7117,1085-7117,1537-2693,"Journal of Agricultural, Biological, and Environmental Statistics",Q2,"Agricultural and Biological Sciences (miscellaneous) (Q2); Applied Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science; Mathematics
1247,,,,,,,
1248,0969-6997,0969-6997,,Journal of Air Transport Management,Q1,"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)","Business, Management and Accounting; Environmental Science; Social Sciences"
1249,0967-5426,0967-5426,,Journal of Applied Accounting Research,Q1,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems and Management (Q1)","Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
1250,,,,,,,
1251,,,,,,,
1252,0883-7252,1099-1255,0883-7252,Journal of Applied Econometrics,Q1,Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1),"Economics, Econometrics and Finance; Social Sciences"
1253,1843-6110,1843-6110,2393-5162,Journal of Applied Economic Sciences,-,"Business, Management and Accounting (miscellaneous); Economics, Econometrics and Finance (miscellaneous)","Business, Management and Accounting; Economics, Econometrics and Finance"
1254,1514-0326,1667-6726,1514-0326,Journal of Applied Economics,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)","Economics, Econometrics and Finance"
1255,,,,,,,
1256,,,,,,,
1257,,,,,,,
1258,0021-9002,1475-6072,0021-9002,Journal of Applied Probability,Q2,"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)",Decision Sciences; Mathematics
1259,0021-9010,1939-1854,0021-9010,Journal of Applied Psychology,Q1,Applied Psychology (Q1),Psychology
1260,0021-9029,0021-9029,1559-1816,Journal of Applied Social Psychology,Q1,Social Psychology (Q1),Psychology
1261,2327-0187,2327-0179,2327-0187,Journal of Applied Sport Management,Q3,"Social Sciences (miscellaneous) (Q3); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4); Tourism, Leisure and Hospitality Management (Q4)","Business, Management and Accounting; Social Sciences"
1262,1041-3200,1041-3200,1533-1571,Journal of Applied Sport Psychology,Q1,Applied Psychology (Q1); Sports Science (Q1),Health Professions; Psychology
1263,,,,,,,
1264,0266-4763,0266-4763,1360-0532,Journal of Applied Statistics,Q2,"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)",Decision Sciences; Mathematics
1265,1063-2921,1063-2921,1930-7799,Journal of Arts Management Law and Society,Q1,Visual Arts and Performing Arts (Q1); Law (Q2); Strategy and Management (Q3),"Arts and Humanities; Business, Management and Accounting; Social Sciences"
1266,1558-7894,1559-2243,1558-7894,Journal of Asia Business Studies,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Strategy and Management (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
1267,,,,,,,
1268,1059-9231,1528-6940,1059-9231,Journal of Asia-Pacific Business,Q3,"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3)","Business, Management and Accounting"
1269,2515-964X,2515-964X,,Journal of Asian Business and Economic Studies,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
1270,1049-0078,1049-0078,,Journal of Asian Economics,Q2,Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance"
1271,0156-5826,0156-5826,,Journal of Australian Political Economy,Q3,Sociology and Political Science (Q3); Economics and Econometrics (Q4),"Economics, Econometrics and Finance; Social Sciences"
1272,1440-0405,1440-0405,2208-6773,Journal of Australian Taxation,Q4,Accounting (Q4); Finance (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
1273,0378-4266,0378-4266,,Journal of Banking and Finance,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance"
1274,,,,,,,
1275,1745-6452,1750-2071,1745-6452,Journal of Banking Regulation,Q2,Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance"
1276,2214-8043,2214-8051,2214-8043,Journal of Behavioral and Experimental Economics,Q1,Social Sciences (miscellaneous) (Q1); Applied Psychology (Q2); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Psychology; Social Sciences"
1277,2214-6350,2214-6350,2214-6369,Journal of Behavioral and Experimental Finance,Q1,Finance (Q1),"Economics, Econometrics and Finance"
1278,0894-3257,0894-3257,1099-0771,Journal of Behavioral Decision Making,Q1,Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Applied Psychology (Q2); Decision Sciences (miscellaneous) (Q2); Strategy and Management (Q2),"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
1279,1542-7560,1542-7579,1542-7560,Journal of Behavioral Finance,Q2,Finance (Q2); Experimental and Cognitive Psychology (Q3),"Economics, Econometrics and Finance; Psychology"
1280,2152-2812,2152-2812,2194-5888,Journal of Benefit-Cost Analysis,Q1,Public Administration (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2),"Economics, Econometrics and Finance; Social Sciences"
1281,1387-6996,1387-6996,1573-6989,Journal of Bioeconomics,Q3,"Economics and Econometrics (Q3); Geography, Planning and Development (Q3)","Economics, Econometrics and Finance; Social Sciences"
1282,1054-3406,1054-3406,1520-5711,Journal of Biopharmaceutical Statistics,Q2,Pharmacology (Q2); Pharmacology (medical) (Q2); Statistics and Probability (Q2),"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1283,1350-231X,1479-1803,1350-231X,Journal of Brand Management,Q1,Marketing (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
1284,0735-0015,0735-0015,1537-2707,Journal of Business and Economic Statistics,Q1,"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)","Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
1285,,,,,,,
1286,0885-8624,0885-8624,,Journal of Business and Industrial Marketing,Q1,Business and International Management (Q1); Marketing (Q2),"Business, Management and Accounting"
1287,2573-234X,2573-234X,2573-2358,Journal of Business Analytics,Q2,"Industrial and Manufacturing Engineering (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)","Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1288,,,,,,,
1289,,,,,,,
1290,,,,,,,
1291,0889-3268,1573-353X,0889-3268,Journal of Business and Psychology,Q1,"Applied Psychology (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)","Business, Management and Accounting; Psychology"
1292,1050-6519,1552-4574,1050-6519,Journal of Business and Technical Communication,Q2,"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Communication (Q2)","Business, Management and Accounting; Social Sciences"
1293,,,,,,,
1294,2509-7962,2509-7970,2509-7962,Journal of Business Cycle Research,Q3,"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Statistics, Probability and Uncertainty (Q3)","Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
1295,0044-2372,0044-2372,1861-8928,Journal of Business Economics,Q2,Business and International Management (Q2); Economics and Econometrics (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance"
1296,1611-1699,2029-4433,1611-1699,Journal of Business Economics and Management,Q2,"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
1297,0167-4544,1573-0697,0167-4544,Journal of Business Ethics,Q1,"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)","Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1298,0306-686X,0306-686X,1468-5957,Journal of Business Finance and Accounting,Q1,"Accounting (Q1); Business, Management and Accounting (miscellaneous) (Q1); Finance (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
1299,0021-9460,2754-205X,0021-9460,Journal of Business Law,Q4,Law (Q4),Social Sciences
1300,0735-3766,2158-1592,0735-3766,Journal of Business Logistics,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)","Business, Management and Accounting; Decision Sciences"
1301,,,,,,,
1302,2246-2465,2246-2465,,Journal of Business Models,Q3,"Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)","Business, Management and Accounting"
1303,0148-2963,0148-2963,,Journal of Business Research,Q1,Business and International Management (Q1); Management of Technology and Innovation (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
1304,0275-6668,0275-6668,,Journal of Business Strategy,Q1,Management Information Systems (Q1); Strategy and Management (Q2),"Business, Management and Accounting"
1305,,,,,,,
1306,,,,,,,
1307,0883-9026,0883-9026,,Journal of Business Venturing,Q1,Business and International Management (Q1); Management of Technology and Innovation (Q1),"Business, Management and Accounting"
1308,2352-6734,2352-6734,,Journal of Business Venturing Insights,Q1,Business and International Management (Q1); Management of Technology and Innovation (Q1),"Business, Management and Accounting"
1309,1051-712X,1547-0628,1051-712X,Journal of Business-to-Business Marketing,Q2,Management Information Systems (Q2); Marketing (Q2),"Business, Management and Accounting"
1310,1069-0727,1069-0727,1552-4590,Journal of Career Assessment,Q1,Applied Psychology (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1),"Business, Management and Accounting; Psychology; Social Sciences"
1311,0894-8453,0894-8453,1556-0856,Journal of Career Development,Q1,Applied Psychology (Q1); Education (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1),"Business, Management and Accounting; Psychology; Social Sciences"
1312,,,,,,,
1313,1548-7717,1548-7717,1548-7725,Journal of Cases on Information Technology,Q3,Information Systems (Q3); Information Systems and Management (Q3); Strategy and Management (Q3); Computer Science Applications (Q4),"Business, Management and Accounting; Computer Science; Decision Sciences"
1314,1469-7017,1479-1811,1469-7017,Journal of Change Management,Q2,Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2),"Business, Management and Accounting"
1315,1938-8160,1938-8160,1938-8179,Journal of China Tourism Research,Q1,"Cultural Studies (Q1); Linguistics and Language (Q1); Tourism, Leisure and Hospitality Management (Q2)","Business, Management and Accounting; Social Sciences"
1316,1754-4408,1754-4416,1754-4408,Journal of Chinese Economic and Foreign Trade Studies,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Organizational Behavior and Human Resource Management (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance"
1317,1476-5284,1476-5284,1476-5292,Journal of Chinese Economic and Business Studies,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1)","Economics, Econometrics and Finance"
1318,,,,,,,
1319,1755-5345,1755-5345,,Journal of Choice Modelling,Q1,"Modeling and Simulation (Q1); Statistics, Probability and Uncertainty (Q2)",Decision Sciences; Mathematics
1320,0959-6526,0959-6526,1879-1786,Journal of Cleaner Production,Q1,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science"
1321,,,,,,,
1322,,,,,,,
1323,2405-8513,2405-8513,,Journal of Commodity Markets,Q1,Finance (Q1); Economics and Econometrics (Q2),"Economics, Econometrics and Finance"
1324,0021-9886,1468-5965,0021-9886,Journal of Common Market Studies,Q1,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Political Science and International Relations (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1325,0021-9916,0021-9916,1460-2466,Journal of Communication,Q1,Communication (Q1); Linguistics and Language (Q1),Social Sciences
1326,1363-254X,1363-254X,,Journal of Communication Management,Q1,Communication (Q1); Strategy and Management (Q2),"Business, Management and Accounting; Social Sciences"
1327,,,,,,,
1328,0147-5967,1095-7227,0147-5967,Journal of Comparative Economics,Q1,Economics and Econometrics (Q1),"Economics, Econometrics and Finance"
1329,,,,,,,
1330,1387-6988,1387-6988,1572-5448,Journal of Comparative Policy Analysis: Research and Practice,Q1,Sociology and Political Science (Q1); Public Administration (Q2),Social Sciences
1331,1744-6414,1744-6422,1744-6414,Journal of Competition Law and Economics,Q1,Economics and Econometrics (Q1); Law (Q1),"Economics, Econometrics and Finance; Social Sciences"
1332,1061-8600,1061-8600,1537-2715,Journal of Computational and Graphical Statistics,Q1,"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics
1333,1460-1559,1460-1559,1755-2850,Journal of Computational Finance,Q3,Applied Mathematics (Q3); Computer Science Applications (Q3); Finance (Q3),"Computer Science; Economics, Econometrics and Finance; Mathematics"
1334,0887-4417,2380-2057,0887-4417,Journal of Computer Information Systems,Q1,Computer Networks and Communications (Q1); Education (Q1); Information Systems (Q1),Computer Science; Social Sciences
