id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
68,0850-3907,0850-3907,,Africa Development/Afrique et Developpement,Q3,Political Science and International Relations (Q3); Sociology and Political Science (Q3); Development (Q4),Social Sciences
69,1017-6772,1467-8268,1017-6772,African Development Review,Q1,Development (Q1),Social Sciences
70,0145-2258,0145-2258,2163-9108,African Economic History,Q2,History (Q2); Economics and Econometrics (Q4),"Arts and Humanities; Economics, Econometrics and Finance"
71,,,,,,,
72,1993-3738,1993-3738,,African Journal of Agricultural and Resource Economics,Q3,Agricultural and Biological Sciences (miscellaneous) (Q3); Economics and Econometrics (Q4),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
73,1750-4554,1750-4554,1750-4562,African Journal of Business and Economic Research,Q4,Business and International Management (Q4); Economics and Econometrics (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
74,2040-0705,2040-0713,2040-0705,African Journal of Economic and Management Studies,Q2,"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
75,,,,,,,
76,,,,,,,
77,0002-0397,1868-6869,0002-0397,Africa Spectrum,Q1,Cultural Studies (Q1); Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2),Social Sciences
78,1751-6447,1751-6455,1751-6447,Afro-Asian Journal of Finance and Accounting,Q4,Accounting (Q4); Finance (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
79,1522-936X,1522-936X,,AgBioForum (discontinued),-,Agronomy and Crop Science; Biotechnology; Economics and Econometrics; Food Science,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Economics, Econometrics and Finance"
80,,,,,,,
81,0742-4477,0742-4477,1520-6297,Agribusiness,Q1,"Animal Science and Zoology (Q1); Agronomy and Crop Science (Q2); Economics and Econometrics (Q2); Food Science (Q2); Geography, Planning and Development (Q2)","Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
82,1068-2805,1068-2805,2372-2614,Agricultural and Resource Economics Review,Q2,Agronomy and Crop Science (Q2); Economics and Econometrics (Q2),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
83,0169-5150,1574-0862,0169-5150,Agricultural Economics (United Kingdom),Q1,Agronomy and Crop Science (Q1); Economics and Econometrics (Q1),"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
84,,,,,,,
85,,,,,,,
86,1109-2580,1109-2580,,Agricultural Economics Review,Q4,Agronomy and Crop Science (Q4),Agricultural and Biological Sciences
87,0002-1466,0002-1466,2041-6326,Agricultural Finance Review,Q2,"Agricultural and Biological Sciences (miscellaneous) (Q2); Economics and Econometrics (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q2); Strategy and Management (Q2)","Agricultural and Biological Sciences; Business, Management and Accounting; Economics, Econometrics and Finance"
88,0889-048X,1572-8366,0889-048X,Agriculture and Human Values,Q1,"Agronomy and Crop Science (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)",Agricultural and Biological Sciences; Social Sciences
89,,,,,,,
90,0927-3379,0927-3379,1875-8339,Air and Space Law,Q2,Law (Q2),Social Sciences
91,,,,,,,
