No,Journal Title,Publisher,ISSN,ISSNOnline,Year Inception,FoR,ABDC Area,2025 rating,หมายเหตุ,Scopus_Match_Key,Scopus_ISSN,Scopus_EISSN,Scopus_Title,Active or Inactive,Coverage,Titles Discontinued by Scopus,Source Type,"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions",Scimago_Match_Key,Scimago_ISSN,Scimago_EISSN,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas,ASG_Match_Key,ASG_ISSN,ASG_Title,"Subject area AJG2024
lowest]",AJG 2024,หมายเหตุหลัก,หมายเหตุรอง1,หมายเหตุรอง2,หมายเหตุรอง3,หมายเหตุที่ทำให้ปรับ
1171,International Review of Environmental and Resource Economics,Now Publishers,1932-1465,1932-1473,2007,3801,Applied economics,B,,1932-1465,1932-1465,1932-1473,International Review of Environmental and Resource Economics,Active,2007-2025,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,Environmental Science ,,,,,,,,,,,,,,1932-1465,1932-1465,1932-1473,International Review of Environmental and Resource Economics,Q2,"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2); Management, Monitoring, Policy and Law (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science",,,,,,,,,,
1172,International Review of Finance,Wiley-Blackwell Publishing,1369-412X,1468-2443,2000	,3502,"Banking, finance and investment",A ,,1369-412X,1369-412X,1468-2443,International Review of Finance,Active,2011-2026; 2009; 2002-2003,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1369-412X,1468-2443,1369-412X,International Review of Finance,Q2,Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance",1369-412X,1369-412X,International Review of Finance,Finance & Accounting,,,,,,
1173,International Review of Financial Analysis,Elsevier,1057-5219,1873-8079,1992	,3502,"Banking, finance and investment",A ,,1057-5219,1057-5219,,International Review of Financial Analysis,Active,1992-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1057-5219,1057-5219,,International Review of Financial Analysis,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance",1057-5219,1057-5219,International Review of Financial Analysis,Finance & Accounting,3,,,,,
1174,International Review of Information Ethics,International Center for Information Ethics (ICIE),1614-1687,,2004	,4609,Information systems,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,International Review of Law and Economics,Elsevier,0144-8188,1873-6394,1981	,3801,Applied economics,B ,,0144-8188,0144-8188,,International Review of Law and Economics,Active,1981-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,0144-8188,0144-8188,,International Review of Law and Economics,Q1,Law (Q1); Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance; Social Sciences",0144-8188,0144-8188,International Review of Law and Economics,Economics,2,,,,,
1176,"International Review of Law, Computers and Technology",Taylor & Francis Online,1360-0869,1364-6885,1984	,4801,Commercial law,A,,1360-0869,1360-0869,1364-6885,"International Review of Law, Computers and Technology",Active,2009-2026; 1991-1995; 1989; 1986-1987; 1984,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,,,,,,,,,,,,,,,,Social Sciences ,,,,1360-0869,1360-0869,1364-6885,"International Review of Law, Computers and Technology",Q1,Law (Q1); Computer Science Applications (Q2),Computer Science; Social Sciences,,,,,,,,,,
1177,International Review of Public Administration,Taylor & Francis Online,1229-4659,2331-7795,1999	,3599,"Other commerce, management, tourism and services",B ,,1229-4659,1229-4659,2331-7795,International Review of Public Administration,Active,1999-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,,1229-4659,2331-7795,1229-4659,International Review of Public Administration,Q2,Public Administration (Q2),Social Sciences,1229-4659,1229-4659,International Review of Public Administration,Public Sector Management,1,,,,,
1178,"International Review of Retail, Distribution and Consumer Research",Taylor & Francis Online,0959-3969,1466-4402,1990	,3506,Marketing,B,,0959-3969,0959-3969,1466-4402,"International Review of Retail, Distribution and Consumer Research",Active,1990-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0959-3969,0959-3969,1466-4402,"International Review of Retail, Distribution and Consumer Research",Q2,Business and International Management (Q2); Economics and Econometrics (Q2); Marketing (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance",0959-3969,0959-3969,"International Review of Retail, Distribution and Consumer",Marketing,1,,,,,
1179,International Review on Public and Nonprofit Marketing,Springer International Publishing,1865-1984,1865-1992,2004	,3506,Marketing,B,,1865-1984,1865-1984,1865-1992,International Review on Public and Nonprofit Marketing,Active,2009-2026; 2001,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1865-1984,1865-1992,1865-1984,International Review on Public and Nonprofit Marketing,Q2,Economics and Econometrics (Q2); Marketing (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
1180,International Small Business Journal,Sage Publications,0266-2426,1741-2870,1982	,3507,"Strategy, management and organisational behaviour",A ,,0266-2426,0266-2426,1741-2870,International Small Business Journal: Researching Entrepreneurship,Active,1982-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0266-2426,0266-2426,1741-2870,International Small Business Journal: Researching Entrepreneurship,Q1,Business and International Management (Q1),"Business, Management and Accounting",0266-2426,0266-2426,International Small Business Journal,Entrepreneurship,3,,,,,
1181,International Social Science Journal,Wiley-Blackwell Publishing,,1468-2451,1949	,3599,"Other commerce, management, tourism and services",B ,,1468-2451,0020-8701,1468-2451,International Social Science Journal,Active,2016-2026; 2008-2014; 1978-2006; 1973-1975,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,,1468-2451,0020-8701,1468-2451,International Social Science Journal,Q2,Social Sciences (miscellaneous) (Q2),Social Sciences,,,,,,,,,,
1182,International Statistical Review,Wiley-Blackwell Publishing,0306-7734,1751-5823,1932	,4905,Statistics,A ,,0306-7734,0306-7734,1751-5823,International Statistical Review,Active,1996-2026; 1992-1994; 1990; 1987; 1985; 1982,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,,0306-7734,0306-7734,1751-5823,International Statistical Review,Q1,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics,,,,,,,,,,
1183,International Studies of Management & Organization,Taylor & Francis Online,0020-8825,1558-0911,1971	,3507,"Strategy, management and organisational behaviour",B ,,0020-8825,0020-8825,1558-0911,International Studies of Management and Organization,Active,2009-2026; 2005,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0020-8825,0020-8825,1558-0911,International Studies of Management and Organization,Q2,Business and International Management (Q2); Strategy and Management (Q2),"Business, Management and Accounting",0020-8825,0020-8825,International Studies of Management and Organization,International Business,2,,,,,
1184,International Studies Quarterly,Wiley-Blackwell Publishing,0020-8833,1468-2478,1957	,3599,"Other commerce, management, tourism and services",A ,,0020-8833,0020-8833,1468-2478,International Studies Quarterly,Active,1987-2026; 1985; 1982-1983; 1978; 1976; 1971-1974,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0020-8833,1468-2478,0020-8833,International Studies Quarterly,Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences,0020-8833,0020-8833,International Studies Quarterly,Economics,4,,,,,
1185,International Tax and Public Finance,Springer International Publishing,0927-5940,1573-6970,1994	,4801,Commercial law,A,,0927-5940,0927-5940,1573-6970,International Tax and Public Finance,Active,1994-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0927-5940,1573-6970,0927-5940,International Tax and Public Finance,Q2,Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance",0927-5940,0927-5940,International Tax and Public Finance,Public Sector Management,2,,,,,
1186,International Tax Journal,Panel Publishers ,0097-7314,,1974	,4801,Commercial law,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,International Tax Review,Euromoney Institutional Investor PLC,0958-7594,,1989	,4801,Commercial law,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,International Trade Journal,Taylor & Francis Online,0885-3908,1521-0545,1986	,3801,Applied economics,B ,,0885-3908,0885-3908,1521-0545,International Trade Journal,Active,1986-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0885-3908,0885-3908,1521-0545,International Trade Journal,Q3,"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
1189,International Transactions in Operational Research,Wiley-Blackwell Publishing,0969-6016,1475-3995,1994	,3509,"Transportation, logistics and supply chains",B ,,0969-6016,0969-6016,1475-3995,International Transactions in Operational Research,Active,1994-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,Computer Science ,Decision Sciences ,,,,,,,,,,,,,,,,,,,0969-6016,0969-6016,1475-3995,International Transactions in Operational Research,Q1,Business and International Management (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2),"Business, Management and Accounting; Computer Science; Decision Sciences",0969-6016,0969-6016,International Transactions in Operational Research,"Operations Research, Management Science, Production & Operations Management",1,,,,,
1190,International Transfer Pricing Journal,International Bureau of Fiscal Documentation,1385-3074,,1993	,4801,Commercial law,C ,,1385-3074,1385-3074,2352-9172,International Transfer Pricing Journal,Active,2019-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,1385-3074,2352-9172,1385-3074,International Transfer Pricing Journal,Q3,"Law (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance; Social Sciences",,,,,,,,,,
1191,International VAT Monitor,International Bureau of Fiscal Documentation,0925-0832,,1990	,4801,Commercial law,B ,,0925-0832,0925-0832,2352-9210,International VAT Monitor,Active,2019-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,0925-0832,0925-0832,2352-9210,International VAT Monitor,Q4,"Economics, Econometrics and Finance (miscellaneous) (Q4); Law (Q4)","Economics, Econometrics and Finance; Social Sciences",,,,,,,,,,
1192,Internet Research,Emerald Group Publishing,1066-2243,2054-5657,1991	,4609,Information systems,A ,,1066-2243,1066-2243,2054-5657,Internet Research,Active,1991-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,1066-2243,1066-2243,,Internet Research,Q1,Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1),"Economics, Econometrics and Finance; Social Sciences",1066-2243,1066-2243,Internet Research,"Management Information Systems, Knowledge Management",3,,,,,
1193,Intertax: International Tax Review,Kluwer Law International ,0165-2826,1875-8347,1971	,4801,Commercial law,C ,,0165-2826,0165-2826,1875-8347,Intertax,Active,2018-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0165-2826,1875-8347,0165-2826,Intertax,Q1,Law (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences",,,,,,,,,,
1194,Investment Analysts Journal,Taylor & Francis Online,1029-3523,2077-0227,1972,3502,"Banking, finance and investment",B,,1029-3523,1029-3523,2077-0227,Investment Analysts Journal,Active,1972-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1029-3523,2077-0227,1029-3523,Investment Analysts Journal,Q3,Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
1195,IPPR Progressive Review,Wiley-Blackwell Publishing,,2573-2331,1994	,3599,"Other commerce, management, tourism and services",B ,,2573-2331,2573-2323,2573-2331,IPPR Progressive Review,Active,2017-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,2573-2331,2573-2331,2573-2323,IPPR Progressive Review,Q3,"Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)","Economics, Econometrics and Finance; Social Sciences",,,,,,,,,,
1196,Irish Journal of Management,Sciendo,1649-248X,2451-2834,1982	,3507,"Strategy, management and organisational behaviour",C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Irish Marketing Review,University of Strathclyde,0790-7362,,1986	,3506,Marketing,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,ISEAS Current Economic Affairs Series,Cambridge University Press,,,1991	,3801,Applied economics,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Islamic Economic Studies,SyndiGate Media Inc.,1319-1616,,	,3899,Other economics,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,ISRA International Journal of Islamic Finance,Emerald Group Publishing,0128-1976,2289-4365,2009,3502,"Banking, finance and investment",C,,0128-1976,0128-1976,2289-4365,ISRA International Journal of Islamic Finance,Inactive,2009-2024,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,,,,,,,,,,,,,,,,,
1201,Issues in Accounting Education,American Accounting Association,0739-3172,1558-7983,1983	,3501,"Accounting, auditing and accountability",A ,,0739-3172,0739-3172,1558-7983,Issues in Accounting Education,Active,2007-2026; 2003-2004; 2001,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0739-3172,0739-3172,1558-7983,Issues in Accounting Education,Q2,Accounting (Q2); Education (Q2),"Business, Management and Accounting; Social Sciences",0739-3172,0739-3172,Issues in Accounting Education,Education,2,,,,,
1202,Issues in Social and Environmental Accounting: An International Journal,Sebelas Maret University,,1978-0591,2007	,3501,"Accounting, auditing and accountability",C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Italian Economic Journal,Springer Nature,2199-322X,2199-3238,2015	,3801,Applied economics,B,,2199-322X,2199-322X,2199-3238,Italian Economic Journal,Active,2015-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,2199-322X,2199-322X,2199-3238,Italian Economic Journal,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2)","Economics, Econometrics and Finance",,,,,,,,,,
1204,Italian Journal of Marketing,Springer Nature Switzerland AG,2662-3323,2662-3331,,3506,Marketing,C,,2662-3323,2662-3323,2662-3331,Italian Journal of Marketing,Active,2020-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,2662-3323,2662-3323,2662-3331,Italian Journal of Marketing,Q2,Marketing (Q2),"Business, Management and Accounting",,,,,,,,,,
1205,IUP Journal of Accounting Research & Audit Practices,IUP Publications,0972-690X,,2009,3501,"Accounting, auditing and accountability",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,IUP Journal of Corporate Governance,IUP Publications,0972-6853,,2003,3501,"Accounting, auditing and accountability",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,IZA Journal of Labor Economics,Springer Nature,,2193-8997,2012	,3801,Applied economics,A ,,2193-8997,,2193-8997,IZA Journal of Labor Economics,Active,2012-2024,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,2193-8997,2193-8997,,IZA Journal of Labor Economics,Q3,Economics and Econometrics (Q3); Industrial Relations (Q3); Organizational Behavior and Human Resource Management (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
1208,Japan and the World Economy,Elsevier ,0922-1425,,1988	,3801,Applied economics,B ,,0922-1425,0922-1425,,Japan and the World Economy,Active,1988-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,0922-1425,0922-1425,,Japan and the World Economy,Q1,Political Science and International Relations (Q1); Economics and Econometrics (Q2); Finance (Q2),"Economics, Econometrics and Finance; Social Sciences",,,,,,,,,,
1209,Japan Labor Issues,Japan Institute for Labour Policy and Training,2433-3689,,2017	,3505,Human resources and industrial relations,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Japanese Economic Review,Wiley-Blackwell Publishing,1352-4739,1468-5876,1950	,3801,Applied economics,B ,,1352-4739,1352-4739,1468-5876,Japanese Economic Review,Active,1995-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,1352-4739,1352-4739,1468-5876,Japanese Economic Review,Q3,Economics and Econometrics (Q3),"Economics, Econometrics and Finance",,,,,,,,,,
1211,JASSA: The Finsia Journal of Applied Finance,Financial Services Institute of Australasia,0313-5934,,1966	,3502,"Banking, finance and investment",B ,,0313-5934,0313-5934,,JASSA,Inactive,2017; 2010-2014,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Jindal Global Law Review,Springer Nature,0975-2498,2364-4869,2009,4801,Commercial law,C,,0975-2498,0975-2498,2364-4869,Jindal Global Law Review,Active,2015-2025,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0975-2498,0975-2498,2364-4869,Jindal Global Law Review,Q3,Law (Q3); Sociology and Political Science (Q3),Social Sciences,,,,,,,,,,
1213,Journal Ensayos Sobre Politica Economica (ESPE) / Essays on Economic Policy,"Department of Economic Policy Studies, Central Bank of Columbia",0120-4483,,1982	,3801,Applied economics,C ,,0120-4483,0120-4483,2665-1327,Ensayos Sobre Politica Economica,Active,2009-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,,0120-4483,0120-4483,2665-1327,Ensayos Sobre Politica Economica,Q3,Political Science and International Relations (Q3); Economics and Econometrics (Q4),"Economics, Econometrics and Finance; Social Sciences",,,,,,,,,,
1214,Journal for Advancement of Marketing Education (JAME),Marketing Management Association,2326-3296,1537-5137,2001	,3506,Marketing,C,,2326-3296,2326-3296,1537-5137,Journal for Advancement of Marketing Education,Active,2012-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,2326-3296,1537-5137,2326-3296,Journal for Advancement of Marketing Education,Q4,Education (Q4); Marketing (Q4),"Business, Management and Accounting; Social Sciences",,,,,,,,,,
1215,Journal for Quality and Participation,American Society for Quality ,1040-9602,1931-4019,1978	,3505,Human resources and industrial relations,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Journal for Studies in Economics & Econometrics,"University of Stellenbosch, Bureau for Economic Research",0379-6205,,1977	,3802,Econometrics,B ,,0379-6205,0379-6205,,Journal for Studies in Economics and Econometrics,Active,2008-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0379-6205,0379-6205,,Journal for Studies in Economics and Econometrics,Q4,Economics and Econometrics (Q4),"Economics, Econometrics and Finance",,,,,,,,,,
1217,Journal of Aboriginal Economic Development,Council for the Advancement of Native Development Officers (CANDO) and Captus Press Inc.,1481-9112,1481-9120,1999	,3801,Applied economics,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Journal of Academy of Business and Economics,International Academy of Business and Economics,1542-8710,2378-8631,2003	,3801,Applied economics,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Journal of Accountancy,Association of International Certified Professional Accountants,0021-8448,1945-0729,1905	,3501,"Accounting, auditing and accountability",C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Journal of Accounting & Organizational Change,Emerald Group Publishing ,1832-5912,1839-5473,2005	,3501,"Accounting, auditing and accountability",B ,,1832-5912,1832-5912,1839-5473,Journal of Accounting and Organizational Change,Active,2005-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,1832-5912,1832-5912,,Journal of Accounting and Organizational Change,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance",,,,,,,,,,
1221,Journal of Accounting and Economics,Elsevier,0165-4101,,1979	,3501,"Accounting, auditing and accountability",A* ,,0165-4101,0165-4101,,Journal of Accounting and Economics,Active,1979-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0165-4101,0165-4101,,Journal of Accounting and Economics,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance",0165-4101,0165-4101,Journal of Accounting and Economics,Finance & Accounting,4*,,,,,
1222,Journal of Accounting and Finance in Emerging Economies,CSRC Publishing,2519-0318,2518-8488,,3501,"Accounting, auditing and accountability",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Journal of Accounting and Management Information Systems (JAMIS),Bucharest University of Economic Studies ,1583-4387,2559-6004,2002	,3501,"Accounting, auditing and accountability",C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Journal of Accounting and Public Policy,Elsevier,0278-4254,1873-2070,1982	,3501,"Accounting, auditing and accountability",A* ,,0278-4254,0278-4254,1873-2070,Journal of Accounting and Public Policy,Active,1982-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0278-4254,1873-2070,0278-4254,Journal of Accounting and Public Policy,Q1,Sociology and Political Science (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences",0278-4254,0278-4254,Journal of Accounting and Public Policy,Finance & Accounting,3,,,,,
1225,Journal of Accounting Auditing and Finance,Sage Publications ,0148-558X,2160-4061,1986	,3501,"Accounting, auditing and accountability",A ,,0148-558X,0148-558X,2160-4061,"Journal of Accounting, Auditing and Finance",Active,1986-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0148-558X,2160-4061,0148-558X,"Journal of Accounting, Auditing and Finance",Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); Accounting (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance",0148-558X,0148-558X,"Journal of Accounting, Auditing and Finance",Finance & Accounting,3,,,,,
1226,Journal of Accounting Education,Elsevier,0748-5751,1873-1996,1983	,3501,"Accounting, auditing and accountability",B ,,0748-5751,0748-5751,,Journal of Accounting Education,Active,1983-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,0748-5751,0748-5751,,Journal of Accounting Education,Q2,Accounting (Q2); Education (Q2),"Business, Management and Accounting; Social Sciences",0748-5751,0748-5751,Journal of Accounting Education,Education,2,,,,,
1227,Journal of Accounting in Emerging Economies,Emerald Group Publishing ,2042-1168,2042-1176,2011	,3501,"Accounting, auditing and accountability",B,,2042-1168,2042-1168,2042-1176,Journal of Accounting in Emerging Economies,Active,2015-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,,2042-1168,2042-1168,2042-1176,Journal of Accounting in Emerging Economies,Q1,Development (Q1); Sociology and Political Science (Q1); Accounting (Q2),"Business, Management and Accounting; Social Sciences",,,,,,,,,,
1228,Journal of Accounting Literature,Emerald Group Publishing ,0737-4607,,1981	,3501,"Accounting, auditing and accountability",A ,,0737-4607,0737-4607,2452-1469,Journal of Accounting Literature,Active,2022-2026; 2013-2019,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,0737-4607,0737-4607,,Journal of Accounting Literature,Q2,Accounting (Q2),"Business, Management and Accounting",0737-4607,0737-4607,Journal of Accounting Literature,Finance & Accounting,3,,,,,
1229,Journal of Accounting Research,Wiley-Blackwell Publishing,0021-8456,1475-679X,1963	,3501,"Accounting, auditing and accountability",A* ,,0021-8456,0021-8456,1475-679X,Journal of Accounting Research,Active,1996-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,,0021-8456,1475-679X,0021-8456,Journal of Accounting Research,Q1,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance",0021-8456,0021-8456,Journal of Accounting Research,Finance & Accounting,4*,,,,,
1230,Journal of Accounting Review,"National Chengchi University, Taiwan.",1018-1687,,,3501,"Accounting, auditing and accountability",C,,1018-1687,1018-1687,,Journal of Accounting Review,Active,2018-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,,1018-1687,1018-1687,,Journal of Accounting Review,Q4,"Accounting (Q4); Business, Management and Accounting (miscellaneous) (Q4)","Business, Management and Accounting",,,,,,,,,,
1231,"Journal of Accounting, Auditing and Business","Universitas Padjadjaran, Indonesia",,2614-3844,,3501,"Accounting, auditing and accountability",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
